"","total.num.var.onet","total.num.var.adlas","total.num.var.bort","total.num.var.bory"
"968",33,20,28,29
"969",33,18,28,26
"970",27,27,30,30
"971",35,20,29,28
"972",28,17,28,25
"973",28,28,28,29
"974",30,30,27,25
"975",34,19,26,27
"976",33,21,30,28
"977",33,18,28,30
"978",33,30,27,30
"979",29,21,27,31
"980",30,20,28,28
"981",31,19,30,33
"982",33,19,32,33
"983",28,19,29,27
"984",30,19,26,28
"985",34,20,30,24
"986",34,20,26,30
"987",33,17,25,28
"988",28,20,27,26
"989",36,20,29,27
"990",29,19,26,27
"991",30,20,29,30
"992",34,19,31,29
"993",29,21,27,30
"994",28,18,27,25
"995",30,19,26,31
"996",27,26,26,29
"997",30,19,29,32
"998",32,19,28,26
"999",31,21,29,29
"1000",37,21,30,27
